,person_age,person_income,person_home_ownership,person_emp_length,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
49,26.0,89028.0,0.0,0.0,6.0,23625.0,6.62,1,0.34,0.0,3.0
50,24.0,78000.0,0.0,4.0,3.0,23625.0,11.039866610796844,1,0.38,0.0,4.0
51,23.0,78000.0,0.0,7.0,1.0,23625.0,18.62,1,0.38,0.0,3.0
52,23.0,92004.0,0.0,6.0,4.0,23625.0,15.23,1,0.33,0.0,3.0
53,23.0,97000.0,0.0,7.0,5.0,23625.0,10.65,1,0.31,0.0,2.0
54,25.0,120000.0,0.0,9.0,6.0,23625.0,7.9,0,0.25,0.0,4.0
55,26.0,141002.75,0.0,4.0,4.0,10000.0,15.96,0,0.04,0.0,3.0
56,26.0,141002.75,0.0,0.0,5.0,20000.0,11.48,0,0.07,0.0,3.0
57,23.0,141002.75,2.0,3.0,6.0,23625.0,11.039866610796844,0,0.13,0.0,4.0
58,25.0,128000.0,0.0,9.0,6.0,23625.0,7.29,0,0.23,0.0,4.0
59,24.0,12000.0,2.0,2.0,2.0,1750.0,11.039866610796844,0,0.15,0.0,3.0
60,21.0,131000.0,0.0,0.0,6.0,23625.0,5.99,0,0.23,0.0,4.0
61,22.0,141002.75,2.0,6.0,5.0,12000.0,11.58,0,0.04,0.0,2.0
62,26.0,141002.75,1.0,0.0,5.0,10000.0,11.039866610796844,1,0.04,0.0,4.0
63,25.0,141002.75,1.0,9.0,3.0,23625.0,15.7,1,0.1,0.0,2.0
64,22.0,70000.0,0.0,6.0,3.0,23625.0,15.99,1,0.42,0.0,3.0
65,22.0,12000.0,1.0,7.0,3.0,1500.0,14.84,0,0.13,0.0,3.0
66,26.0,141002.75,2.0,10.0,5.0,23625.0,10.99,0,0.11,0.0,3.0
67,25.0,141002.75,1.0,9.0,3.0,20000.0,14.42,0,0.08,0.0,2.0
68,24.0,141002.75,1.0,9.0,6.0,9600.0,6.99,0,0.04,0.0,2.0
69,25.0,141002.75,0.0,2.0,4.0,23625.0,13.49,0,0.1,0.0,4.0
70,25.0,12000.0,2.0,0.0,4.0,3000.0,11.039866610796844,1,0.25,0.0,3.0
71,22.0,56950.0,0.0,6.0,6.0,23625.0,11.039866610796844,1,0.44000000000000006,0.0,2.0
72,21.0,12000.0,2.0,6.0,4.0,3000.0,13.61,1,0.25,0.0,3.0
73,23.0,65000.0,0.0,2.0,6.0,23625.0,7.9,1,0.43,0.0,2.0
74,26.0,85000.0,0.0,2.0,6.0,23625.0,7.49,1,0.33,0.0,3.0
75,26.0,12000.0,2.0,2.0,6.0,6100.0,7.51,1,0.44000000000000006,0.0,3.0
76,22.0,88000.0,0.0,6.0,5.0,23625.0,9.91,1,0.32,0.0,3.0
77,21.0,12000.0,2.0,0.0,4.0,4200.0,13.48,1,0.35,0.0,4.0
78,22.0,12000.0,2.0,6.0,6.0,4750.0,7.14,1,0.4,0.0,2.0
79,24.0,83004.0,0.0,0.0,3.0,23625.0,15.99,1,0.34,0.0,4.0
80,24.0,141002.75,0.0,2.0,4.0,18000.0,12.98,0,0.07,0.0,3.0
81,40.5,141002.75,0.0,4.0,4.0,4800.0,13.57,0,0.02,0.0,3.0
82,25.0,100000.0,0.0,5.0,5.0,23625.0,12.69,0,0.28,0.0,3.0
83,26.0,110000.0,0.0,10.0,6.0,23625.0,8.9,0,0.25,0.0,2.0
84,26.0,12000.0,2.0,0.0,6.0,2700.0,11.039866610796844,1,0.23,0.0,4.0
85,22.0,108000.0,0.0,6.0,5.0,23625.0,11.039866610796844,1,0.26,0.0,4.0
86,23.0,141002.75,0.0,7.0,5.0,23625.0,11.11,0,0.19,0.0,2.0
87,24.0,69000.0,0.0,2.0,6.0,23625.0,11.039866610796844,1,0.4,0.0,2.0
88,21.0,12000.0,1.0,5.0,2.0,3250.0,15.68,1,0.27,0.0,3.0
89,22.0,70000.0,0.0,4.0,4.0,23625.0,13.06,1,0.39,0.0,3.0
90,22.0,141002.75,2.0,6.0,5.0,23625.0,11.039866610796844,0,0.1,0.0,2.0
91,26.0,73200.0,0.0,5.0,3.0,23625.0,15.62,1,0.37,0.0,2.0
92,24.0,83000.0,0.0,5.0,4.0,23625.0,13.49,1,0.33,0.0,2.0
93,24.0,73399.0,0.0,0.0,3.0,23625.0,11.039866610796844,1,0.37,0.0,3.0
94,23.0,62500.0,0.0,7.0,5.0,23625.0,11.71,1,0.42,0.0,2.0
95,23.0,120000.0,0.0,1.0,5.0,23625.0,12.69,0,0.21,0.0,3.0
96,24.0,12360.0,2.0,2.0,4.0,1600.0,13.57,0,0.13,0.0,3.0
97,22.0,60000.0,0.0,0.0,5.0,23625.0,10.99,1,0.42,0.0,3.0
98,25.0,141002.75,1.0,3.0,4.0,20000.0,14.27,0,0.09,0.0,4.0
99,24.0,141002.75,2.0,8.0,5.0,20000.0,8.88,0,0.09,0.0,4.0
100,26.0,141002.75,1.0,10.0,5.0,21600.0,12.18,0,0.09,0.0,3.0
101,25.0,141002.75,1.0,6.0,3.0,11900.0,14.42,1,0.05,0.0,3.0
102,26.0,141002.75,1.0,0.0,4.0,23625.0,14.17,0,0.11,0.0,2.0
103,25.0,141002.75,1.0,5.0,4.0,23625.0,13.99,0,0.15,0.0,4.0
104,23.0,83000.0,0.0,7.0,5.0,23625.0,10.99,1,0.3,0.0,3.0
106,25.0,12600.0,2.0,3.0,4.0,1750.0,13.61,0,0.14,0.0,3.0
107,21.0,42500.0,0.0,3.0,4.0,23625.0,12.73,1,0.44000000000000006,0.0,3.0
108,24.0,41000.0,0.0,2.0,3.0,23625.0,11.039866610796844,1,0.44000000000000006,0.0,3.0
109,25.0,12816.0,2.0,0.0,4.0,3000.0,12.87,1,0.23,0.0,4.0
110,24.0,12960.0,1.0,1.0,5.0,3650.0,9.91,1,0.28,0.0,3.0
111,26.0,141002.75,1.0,4.0,5.0,20000.0,11.49,0,0.09,0.0,4.0
112,25.0,141002.75,1.0,0.0,2.0,23625.0,19.91,0,0.13,0.0,2.0
113,26.0,141002.75,1.0,6.0,5.0,23625.0,10.65,1,0.16,0.0,2.0
114,24.0,141002.75,0.0,0.0,5.0,6000.0,11.039866610796844,0,0.03,0.0,4.0
115,24.0,12960.0,1.0,0.0,5.0,4500.0,11.83,1,0.35,0.0,4.0
116,23.0,12996.0,2.0,0.0,4.0,2400.0,13.49,1,0.18,0.0,2.0
117,22.0,42000.0,0.0,6.0,3.0,23625.0,14.59,1,0.44000000000000006,0.0,2.0
118,26.0,48000.0,0.0,2.0,5.0,23625.0,9.64,1,0.44000000000000006,0.0,4.0
119,25.0,12996.0,2.0,1.0,3.0,3600.0,14.59,1,0.28,0.0,3.0
120,22.0,12996.0,2.0,1.0,5.0,4750.0,11.039866610796844,1,0.37,0.0,3.0
121,25.0,42360.0,0.0,1.0,2.0,23625.0,16.35,1,0.44000000000000006,0.0,3.0
122,21.0,49000.0,0.0,4.0,5.0,23625.0,10.99,1,0.44000000000000006,0.0,2.0
123,25.0,141002.75,1.0,0.0,1.0,23625.0,18.67,0,0.11,0.0,2.0
124,26.0,141002.75,0.0,1.0,6.0,3000.0,9.32,0,0.01,0.0,4.0
125,23.0,141002.75,0.0,8.0,6.0,7500.0,8.63,0,0.03,0.0,2.0
126,26.0,141002.75,1.0,2.0,5.0,23625.0,10.08,0,0.11,0.0,2.0
127,22.0,49464.0,0.0,5.0,5.0,23625.0,11.83,1,0.44000000000000006,0.0,3.0
128,23.0,50000.0,0.0,1.0,6.0,23625.0,7.9,1,0.44000000000000006,0.0,3.0
129,25.0,50000.0,0.0,4.0,6.0,23625.0,5.99,1,0.44000000000000006,0.0,2.0
130,24.0,44000.0,0.0,2.0,3.0,23625.0,15.33,1,0.44000000000000006,0.0,2.0
131,23.0,50000.0,0.0,1.0,5.0,23625.0,11.83,1,0.44000000000000006,0.0,4.0
132,22.0,50004.0,0.0,0.0,5.0,23625.0,10.36,1,0.44000000000000006,0.0,2.0
133,22.0,50004.0,0.0,3.0,4.0,23625.0,12.23,1,0.44000000000000006,0.0,3.0
134,22.0,52000.0,0.0,2.0,5.0,23625.0,11.11,1,0.44000000000000006,0.0,4.0
135,23.0,13200.0,2.0,3.0,6.0,4950.0,7.9,1,0.38,0.0,4.0
136,24.0,141002.75,1.0,1.0,5.0,23625.0,11.58,0,0.11,0.0,2.0
137,23.0,141002.75,1.0,5.0,6.0,21000.0,8.9,0,0.1,0.0,3.0
138,25.0,141002.75,1.0,2.0,3.0,23625.0,16.07,0,0.12,0.0,3.0
139,26.0,141002.75,1.0,10.0,4.0,20000.0,14.22,0,0.09,0.0,2.0
140,23.0,141002.75,1.0,7.0,4.0,23625.0,14.79,0,0.16,0.0,3.0
141,26.0,141002.75,1.0,11.0,6.0,12000.0,7.88,0,0.06,0.0,2.0
142,23.0,52000.0,0.0,1.0,4.0,23625.0,13.22,1,0.44000000000000006,0.0,2.0
143,26.0,46000.0,0.0,2.0,3.0,23625.0,11.86,1,0.44000000000000006,0.0,4.0
144,22.0,53000.0,0.0,5.0,4.0,23625.0,13.43,1,0.44000000000000006,0.0,4.0
145,26.0,47000.0,0.0,0.0,3.0,23625.0,15.28,1,0.44000000000000006,0.0,2.0
146,23.0,47000.0,0.0,1.0,2.0,23625.0,17.93,1,0.44000000000000006,0.0,2.0
147,23.0,13200.0,1.0,2.0,5.0,1400.0,9.25,0,0.11,0.0,4.0
148,21.0,13200.0,2.0,0.0,4.0,4500.0,12.98,1,0.34,0.0,4.0
149,22.0,141002.75,1.0,6.0,5.0,16000.0,10.62,0,0.08,0.0,4.0
150,26.0,141002.75,2.0,10.0,5.0,22000.0,11.83,0,0.1,0.0,4.0
151,26.0,48000.0,0.0,5.0,1.0,23625.0,18.43,1,0.44000000000000006,0.0,2.0
152,22.0,54996.0,0.0,6.0,5.0,23625.0,11.039866610796844,1,0.44000000000000006,0.0,4.0
153,24.0,55000.0,0.0,4.0,3.0,23625.0,11.039866610796844,1,0.44000000000000006,0.0,4.0
154,23.0,55000.0,0.0,4.0,5.0,23625.0,11.36,1,0.44000000000000006,0.0,3.0
155,23.0,55000.0,0.0,4.0,3.0,23625.0,15.65,1,0.44000000000000006,0.0,3.0
156,24.0,55164.0,0.0,8.0,4.0,23625.0,13.22,1,0.44000000000000006,0.0,4.0
157,26.0,56000.0,0.0,4.0,4.0,23625.0,12.87,1,0.44000000000000006,0.0,2.0
158,24.0,141002.75,2.0,8.0,4.0,20000.0,13.04,0,0.1,0.0,3.0
159,23.0,141002.75,1.0,5.0,1.0,22000.0,17.58,1,0.12,0.0,3.0
160,23.0,13920.0,2.0,2.0,2.0,7750.0,17.04,1,0.44000000000000006,0.0,4.0
161,24.0,60000.0,0.0,0.0,5.0,23625.0,10.99,1,0.42,0.0,3.0
162,24.0,60000.0,0.0,2.0,5.0,23625.0,11.11,1,0.42,0.0,3.0
163,26.0,54000.0,0.0,7.0,3.0,23625.0,14.83,1,0.44000000000000006,0.0,2.0
164,23.0,14000.0,2.0,2.0,3.0,4000.0,11.039866610796844,1,0.29,0.0,3.0
165,24.0,141002.75,0.0,8.0,5.0,12000.0,12.69,0,0.06,0.0,2.0
166,24.0,141002.75,1.0,8.0,4.0,12000.0,13.49,0,0.06,0.0,2.0
167,21.0,141002.75,1.0,5.0,4.0,16000.0,14.65,0,0.08,0.0,4.0
168,25.0,54000.0,0.0,3.0,2.0,23625.0,16.82,1,0.44000000000000006,0.0,4.0
169,23.0,60000.0,0.0,3.0,4.0,23625.0,12.73,1,0.42,0.0,3.0
170,23.0,60000.0,0.0,7.0,5.0,23625.0,10.25,1,0.42,0.0,4.0
171,21.0,60000.0,0.0,6.0,5.0,23625.0,10.99,1,0.42,0.0,4.0
172,25.0,61959.0,0.0,9.0,4.0,23625.0,12.73,1,0.4,0.0,2.0
173,22.0,56400.0,0.0,2.0,3.0,23625.0,14.96,1,0.44,0.0,3.0
174,23.0,141002.75,1.0,7.0,6.0,23625.0,11.039866610796844,0,0.14,0.0,2.0
175,21.0,141002.75,1.0,2.0,4.0,23625.0,13.99,0,0.13,0.0,2.0
176,24.0,141002.75,1.0,3.0,6.0,23625.0,7.49,0,0.12,0.0,4.0
177,26.0,141002.75,1.0,4.0,4.0,15000.0,14.79,0,0.07,0.0,3.0
178,25.0,141002.75,1.0,2.0,5.0,15500.0,11.99,0,0.08,0.0,2.0
179,24.0,141002.75,0.0,8.0,6.0,10000.0,8.49,0,0.05,0.0,4.0
180,24.0,66000.0,0.0,3.0,5.0,23625.0,9.91,1,0.38,0.0,2.0
181,22.0,66000.0,0.0,6.0,4.0,23625.0,13.06,1,0.38,0.0,3.0
182,22.0,141002.75,1.0,6.0,6.0,9000.0,6.17,0,0.04,0.0,4.0
183,40.5,141002.75,1.0,4.0,5.0,6000.0,11.86,0,0.03,0.0,2.0
184,25.0,141002.75,0.0,5.0,3.0,18000.0,16.32,0,0.09,0.0,3.0
185,25.0,141002.75,1.0,2.0,5.0,12000.0,10.38,0,0.06,0.0,2.0
186,25.0,141002.75,1.0,9.0,4.0,23050.0,14.35,0,0.12,0.0,3.0
187,24.0,141002.75,1.0,8.0,5.0,20000.0,11.039866610796844,0,0.1,0.0,3.0
188,24.0,60000.0,0.0,2.0,2.0,23625.0,11.039866610796844,1,0.42,0.0,2.0
189,21.0,14400.0,2.0,0.0,5.0,3000.0,11.039866610796844,1,0.21,0.0,4.0
190,26.0,66996.0,0.0,10.0,3.0,23625.0,15.21,1,0.37,0.0,2.0
191,23.0,67000.0,0.0,3.0,6.0,23625.0,7.9,1,0.37,0.0,4.0
192,24.0,67000.0,0.0,2.0,5.0,23625.0,10.99,1,0.37,0.0,3.0
193,24.0,68000.0,0.0,5.0,3.0,23625.0,14.09,1,0.37,0.0,3.0
194,25.0,69000.0,0.0,9.0,3.0,23625.0,17.49,1,0.36,0.0,2.0
195,25.0,141002.75,1.0,0.0,5.0,12000.0,11.48,0,0.06,0.0,3.0
196,26.0,141002.75,1.0,10.0,2.0,20000.0,17.74,1,0.11,0.0,2.0
197,26.0,141002.75,1.0,4.0,4.0,3000.0,13.92,0,0.01,0.0,3.0
198,25.0,69996.0,0.0,9.0,3.0,23625.0,15.21,1,0.36,0.0,3.0
199,22.0,14400.0,2.0,2.0,5.0,4000.0,10.99,1,0.28,0.0,3.0
200,24.0,70000.0,0.0,3.0,5.0,23625.0,11.86,1,0.36,0.0,4.0
201,24.0,14400.0,2.0,5.0,6.0,6000.0,7.49,1,0.42,0.0,3.0
202,24.0,56100.0,0.0,7.0,3.0,23625.0,16.49,1,0.38,0.0,4.0
203,25.0,66000.0,0.0,9.0,3.0,23625.0,15.33,1,0.38,0.0,2.0
204,26.0,66000.0,0.0,3.0,5.0,23625.0,11.58,1,0.38,0.0,4.0
205,25.0,14400.0,2.0,7.0,6.0,5375.0,5.79,1,0.37,0.0,2.0
206,25.0,72612.0,0.0,9.0,4.0,23625.0,13.11,1,0.34,0.0,2.0
207,23.0,74000.0,0.0,3.0,5.0,23625.0,10.36,1,0.34,0.0,3.0
208,25.0,75000.0,0.0,9.0,5.0,23625.0,10.36,1,0.33,0.0,2.0
209,24.0,141002.75,0.0,0.0,4.0,22000.0,11.039866610796844,0,0.11,0.0,2.0
210,21.0,141002.75,1.0,14.5,6.0,20000.0,6.54,0,0.1,0.0,4.0
211,25.0,141002.75,1.0,1.0,5.0,10000.0,12.53,0,0.05,0.0,4.0
212,26.0,141002.75,1.0,5.0,6.0,15000.0,11.039866610796844,0,0.08,0.0,3.0
213,22.0,141002.75,1.0,3.0,4.0,10000.0,11.039866610796844,0,0.05,0.0,3.0
214,24.0,75000.0,0.0,4.0,5.0,23625.0,10.25,1,0.33,0.0,4.0
215,22.0,71000.0,0.0,1.0,3.0,23625.0,15.95,1,0.35,0.0,4.0
216,26.0,141002.75,1.0,3.0,5.0,20000.0,12.18,0,0.11,0.0,4.0
217,23.0,141002.75,2.0,0.0,5.0,23625.0,11.83,0,0.13,0.0,3.0
218,23.0,78000.0,0.0,7.0,4.0,23625.0,11.039866610796844,1,0.32,0.0,2.0
219,23.0,78000.0,0.0,1.0,5.0,23625.0,10.62,1,0.32,0.0,3.0
220,23.0,78504.0,0.0,7.0,5.0,23625.0,10.74,1,0.32,0.0,3.0
221,25.0,141002.75,2.0,9.0,5.0,10000.0,10.25,0,0.05,0.0,4.0
223,25.0,141002.75,0.0,6.0,4.0,15000.0,15.27,0,0.08,0.0,2.0
224,24.0,62050.0,0.0,8.0,3.0,23625.0,15.33,1,0.34,0.0,2.0
225,23.0,79416.0,0.0,7.0,3.0,23625.0,15.21,1,0.31,0.0,2.0
226,21.0,14400.0,2.0,4.0,4.0,6250.0,14.72,1,0.43,0.0,2.0
227,24.0,79631.0,0.0,8.0,3.0,23625.0,15.7,1,0.31,0.0,2.0
228,24.0,79632.0,0.0,0.0,4.0,23625.0,13.35,1,0.31,0.0,4.0
229,21.0,14400.0,1.0,0.0,4.0,1500.0,11.039866610796844,0,0.1,0.0,4.0
230,24.0,80000.0,0.0,6.0,6.0,23625.0,6.62,1,0.31,0.0,2.0
231,26.0,80000.0,0.0,5.0,4.0,23625.0,13.61,1,0.31,0.0,4.0
232,22.0,141002.75,0.0,4.0,5.0,23625.0,11.36,0,0.14,0.0,2.0
233,26.0,141002.75,2.0,10.0,6.0,5000.0,7.68,0,0.03,0.0,2.0
234,24.0,141002.75,0.0,7.0,3.0,22000.0,14.46,0,0.12,0.0,4.0
235,23.0,141002.75,2.0,5.0,5.0,2500.0,11.83,0,0.01,0.0,2.0
236,24.0,141002.75,1.0,6.0,4.0,20000.0,13.47,1,0.12,0.0,4.0
237,24.0,141002.75,1.0,2.0,5.0,20000.0,11.49,0,0.11,0.0,3.0
238,22.0,141002.75,1.0,3.0,6.0,1000.0,11.039866610796844,0,0.01,0.0,2.0
239,25.0,141002.75,1.0,9.0,6.0,15000.0,6.03,0,0.08,0.0,3.0
240,23.0,74004.0,0.0,7.0,2.0,23625.0,16.35,1,0.34,0.0,4.0
241,26.0,74004.0,0.0,10.0,3.0,23625.0,11.039866610796844,1,0.34,0.0,4.0
242,25.0,81000.0,0.0,5.0,6.0,23625.0,7.29,1,0.31,0.0,3.0
243,23.0,81600.0,0.0,1.0,5.0,23625.0,11.36,1,0.31,0.0,3.0
244,24.0,82000.0,0.0,8.0,5.0,23625.0,10.25,0,0.3,0.0,2.0
245,24.0,83000.0,0.0,5.0,5.0,23625.0,11.12,0,0.3,0.0,3.0
246,24.0,83000.0,0.0,5.0,3.0,23625.0,12.92,0,0.3,0.0,3.0
247,24.0,141002.75,0.0,8.0,2.0,18000.0,18.64,0,0.1,0.0,4.0
248,23.0,141002.75,1.0,8.0,6.0,23625.0,7.51,0,0.16,0.0,3.0
249,23.0,14400.0,2.0,2.0,2.0,4000.0,16.7,1,0.28,0.0,2.0
250,22.0,14400.0,2.0,0.0,5.0,2100.0,11.14,0,0.15,0.0,4.0
251,22.0,84500.0,0.0,6.0,1.0,23625.0,18.3,0,0.3,0.0,4.0
252,24.0,85000.0,0.0,5.0,5.0,23625.0,10.62,0,0.29,0.0,4.0
253,24.0,141002.75,1.0,7.0,5.0,14000.0,11.99,0,0.08,0.0,2.0
254,26.0,141002.75,1.0,2.0,5.0,12000.0,9.63,0,0.07,0.0,4.0
255,25.0,141002.75,1.0,9.0,1.0,10000.0,18.25,1,0.06,0.0,4.0
256,23.0,14664.0,1.0,0.0,4.0,6000.0,11.039866610796844,1,0.41,0.0,4.0
257,24.0,87000.0,0.0,8.0,3.0,23625.0,14.84,0,0.29,0.0,3.0
258,24.0,75000.0,0.0,0.0,2.0,23625.0,14.7,1,0.33,0.0,3.0
259,23.0,76000.0,0.0,7.0,3.0,23625.0,16.02,1,0.33,0.0,4.0
260,23.0,66215.0,0.0,1.0,3.0,23625.0,15.37,1,0.32,0.0,2.0
261,25.0,90000.0,0.0,9.0,5.0,23625.0,10.99,0,0.28,0.0,4.0
262,21.0,15000.0,2.0,0.0,6.0,6200.0,7.9,1,0.41,0.0,2.0
263,26.0,141002.75,2.0,2.0,5.0,23625.0,10.99,0,0.14,0.0,4.0
264,24.0,141002.75,2.0,8.0,5.0,21000.0,11.48,0,0.12,0.0,3.0
265,25.0,141002.75,2.0,9.0,4.0,20000.0,14.26,0,0.11,0.0,4.0
266,26.0,141002.75,2.0,0.0,6.0,10000.0,8.0,0,0.06,0.0,4.0
267,25.0,141002.75,1.0,3.0,5.0,9950.0,11.26,0,0.06,0.0,2.0
268,23.0,15000.0,2.0,7.0,5.0,4475.0,11.039866610796844,1,0.3,0.0,4.0
269,23.0,78000.0,0.0,2.0,3.0,23625.0,16.32,1,0.32,0.0,3.0
270,25.0,66300.0,0.0,3.0,2.0,23625.0,17.93,1,0.32,0.0,4.0
271,23.0,90000.0,0.0,0.0,5.0,23625.0,11.36,0,0.28,0.0,3.0
272,24.0,79000.0,0.0,9.0,3.0,23625.0,14.96,1,0.32,0.0,4.0
273,24.0,91800.0,0.0,4.0,4.0,23625.0,13.43,0,0.27,0.0,3.0
274,25.0,92000.0,0.0,6.0,5.0,23625.0,12.69,0,0.27,0.0,3.0
275,24.0,92000.0,0.0,1.0,4.0,23625.0,12.73,0,0.27,0.0,4.0
276,23.0,93600.0,0.0,3.0,3.0,23625.0,15.21,0,0.27,0.0,4.0
277,23.0,15000.0,1.0,1.0,4.0,1750.0,12.68,0,0.12,0.0,3.0
278,23.0,70550.0,0.0,3.0,1.0,23625.0,19.04,1,0.3,0.0,4.0
279,25.0,83800.0,0.0,2.0,3.0,23625.0,15.95,1,0.3,0.0,3.0
280,26.0,141002.75,1.0,3.0,6.0,2600.0,8.9,0,0.01,0.0,4.0
281,25.0,141002.75,1.0,10.0,6.0,8000.0,7.9,0,0.05,0.0,2.0
282,22.0,141002.75,1.0,6.0,5.0,18000.0,11.039866610796844,0,0.1,0.0,2.0
283,23.0,141002.75,1.0,8.0,5.0,21000.0,11.99,0,0.12,0.0,3.0
284,23.0,15000.0,2.0,4.0,4.0,4000.0,13.98,1,0.27,0.0,4.0
285,23.0,15000.0,2.0,4.0,5.0,4600.0,10.99,1,0.31,0.0,2.0
286,22.0,88000.0,0.0,6.0,3.0,23625.0,15.58,1,0.28,0.0,2.0
287,25.0,74800.0,0.0,2.0,5.0,23625.0,10.99,1,0.28,0.0,2.0
288,25.0,88000.0,0.0,0.0,3.0,23625.0,14.96,1,0.28,0.0,4.0
289,25.0,15000.0,2.0,2.0,3.0,1750.0,15.31,0,0.12,0.0,4.0
290,26.0,88000.0,0.0,2.0,3.0,23625.0,15.65,1,0.28,0.0,3.0
291,25.0,100000.0,0.0,1.0,5.0,23625.0,9.33,0,0.25,0.0,4.0
292,23.0,15000.0,1.0,0.0,4.0,3600.0,13.47,1,0.24,0.0,4.0
293,24.0,102400.0,0.0,8.0,5.0,23625.0,10.36,0,0.24,0.0,3.0
294,24.0,92000.0,0.0,1.0,2.0,23625.0,16.77,1,0.27,0.0,4.0
295,23.0,93000.0,0.0,0.0,3.0,23625.0,14.59,1,0.27,0.0,2.0
